ID_CORRELATIVO,KNN256_standard
47411.0,0.01171875
39861.0,0.43359375
38898.0,0.2421875
50927.0,0.109375
32969.0,0.0390625
89661.0,0.15625
12197.0,0.0625
71520.0,0.04296875
59759.0,0.51171875
36743.0,0.0390625
10736.0,0.14453125
5106.0,0.0625
44506.0,0.01953125
47767.0,0.12109375
74686.0,0.07421875
63023.0,0.2265625
13584.0,0.26171875
317.0,0.11328125
62570.0,0.0546875
68244.0,0.04296875
72881.0,0.2109375
18280.0,0.5078125
70682.0,0.26171875
79902.0,0.1875
35073.0,0.0078125
84331.0,0.1328125
70921.0,0.015625
82245.0,0.18359375
17714.0,0.33203125
13993.0,0.29296875
658.0,0.015625
33916.0,0.01171875
92737.0,0.21484375
22844.0,0.08203125
93339.0,0.07421875
29572.0,0.09765625
24751.0,0.0546875
37862.0,0.1953125
26676.0,0.06640625
8675.0,0.359375
64245.0,0.0703125
57248.0,0.296875
3531.0,0.15625
9834.0,0.421875
74246.0,0.18359375
56683.0,0.09765625
16847.0,0.5859375
96617.0,0.22265625
94167.0,0.046875
42800.0,0.06640625
70106.0,0.40234375
42486.0,0.015625
78076.0,0.078125
85819.0,0.046875
15786.0,0.02734375
61483.0,0.05078125
25630.0,0.25390625
22501.0,0.08203125
92447.0,0.1015625
13795.0,0.0703125
57101.0,0.2421875
55077.0,0.046875
47600.0,0.00390625
5924.0,0.046875
34900.0,0.421875
91990.0,0.09765625
50268.0,0.0859375
66401.0,0.078125
18014.0,0.109375
20006.0,0.10546875
55391.0,0.12109375
40304.0,0.01953125
12832.0,0.19140625
41746.0,0.24609375
69384.0,0.01953125
56225.0,0.03125
46522.0,0.16796875
59922.0,0.33203125
48609.0,0.01953125
77235.0,0.21875
8082.0,0.01953125
65539.0,0.015625
39769.0,0.140625
96098.0,0.1875
86925.0,0.171875
53370.0,0.23046875
60773.0,0.2421875
47138.0,0.07421875
44098.0,0.0234375
61301.0,0.3671875
38956.0,0.0234375
7585.0,0.359375
14240.0,0.015625
49732.0,0.07421875
48849.0,0.109375
72202.0,0.18359375
14480.0,0.796875
33035.0,0.078125
43985.0,0.046875
85217.0,0.65625
8121.0,0.07421875
95484.0,0.109375
57781.0,0.0546875
85281.0,0.13671875
71928.0,0.18359375
79044.0,0.28515625
54020.0,0.0390625
46617.0,0.1015625
3924.0,0.28125
76379.0,0.34765625
62379.0,0.26953125
80390.0,0.23828125
95214.0,0.19140625
24624.0,0.08984375
89328.0,0.51953125
85616.0,0.25
84393.0,0.078125
63954.0,0.16796875
20998.0,0.00390625
42995.0,0.26171875
67212.0,0.04296875
95562.0,0.0078125
1869.0,0.1640625
81929.0,0.078125
72552.0,0.046875
34425.0,0.08984375
83123.0,0.39453125
90228.0,0.171875
27741.0,0.31640625
53991.0,0.4140625
15167.0,0.078125
29006.0,0.34375
86461.0,0.09375
22615.0,0.08984375
90108.0,0.125
12561.0,0.0078125
18306.0,0.0703125
78913.0,0.0546875
38785.0,0.16015625
13919.0,0.015625
59619.0,0.08203125
17801.0,0.34765625
11683.0,0.296875
50393.0,0.171875
1414.0,0.0546875
49705.0,0.0859375
11495.0,0.0078125
74515.0,0.27734375
87870.0,0.25390625
18347.0,0.0390625
3854.0,0.1796875
19733.0,0.06640625
