ID_CORRELATIVO,NB_log
47411.0,2.553986420109858e-13
39861.0,1.0
38898.0,1.0
50927.0,1.0
32969.0,1.0
89661.0,1.0
12197.0,1.0
71520.0,1.0
59759.0,1.0
36743.0,4.2445191293720463e-41
10736.0,1.0
5106.0,1.0
44506.0,4.754147810060843e-24
47767.0,0.9991670929375147
74686.0,1.0
63023.0,1.0
13584.0,1.0
317.0,1.0
62570.0,0.9999999999999858
68244.0,1.0
72881.0,1.0
18280.0,1.0
70682.0,1.0
79902.0,1.0
35073.0,0.9992231124483458
84331.0,1.0
70921.0,4.9088396830780605e-25
82245.0,1.0
17714.0,1.0
13993.0,1.0
658.0,1.0
33916.0,1.0
92737.0,1.0
22844.0,1.0
93339.0,1.0
29572.0,1.8963309416136231e-59
24751.0,1.0
37862.0,1.0
26676.0,1.0
8675.0,1.0
64245.0,1.0
57248.0,1.0
3531.0,1.0
9834.0,1.0
74246.0,1.0
56683.0,0.9999999979207956
16847.0,1.0
96617.0,1.0
94167.0,0.9999963785193763
42800.0,1.0
70106.0,1.0
42486.0,0.0
78076.0,0.999772048254814
85819.0,1.0
15786.0,2.3626129848155523e-15
61483.0,1.0
25630.0,1.0
22501.0,1.0
92447.0,1.0
13795.0,1.0
57101.0,1.0
55077.0,1.0
47600.0,4.835516902547074e-52
5924.0,0.008292480471349811
34900.0,1.0
91990.0,1.0
50268.0,0.9999999999999432
66401.0,1.0
18014.0,1.0
20006.0,1.0
55391.0,1.0
40304.0,1.031241808186893e-19
12832.0,1.0
41746.0,1.0
69384.0,0.0
56225.0,0.9997698999726676
46522.0,1.0
59922.0,1.0
48609.0,4.0674191668409253e-289
77235.0,1.0
8082.0,1.0
65539.0,0.008285680228062075
39769.0,1.0
96098.0,1.0
86925.0,1.0
53370.0,1.0
60773.0,1.0
47138.0,1.0
44098.0,2.6028809847692595e-81
61301.0,1.0
38956.0,1.0
7585.0,1.0
14240.0,0.0
49732.0,1.0
48849.0,1.0
72202.0,1.0
14480.0,1.0
33035.0,1.0
43985.0,1.0
85217.0,1.0
8121.0,1.0
95484.0,0.9999999999998721
57781.0,7.044621011642717e-08
85281.0,1.0
71928.0,1.0
79044.0,1.0
54020.0,0.9999850178122255
46617.0,1.0
3924.0,1.0
76379.0,1.0
62379.0,1.0
80390.0,1.0
95214.0,1.0
24624.0,1.0
89328.0,1.0
85616.0,1.0
84393.0,1.0
63954.0,1.0
20998.0,6.645160575128298e-24
42995.0,1.0
67212.0,3.873237987084949e-09
95562.0,1.0
1869.0,1.0
81929.0,1.0
72552.0,1.0
34425.0,1.0
83123.0,1.0
90228.0,1.0
27741.0,1.0
53991.0,1.0
15167.0,0.9999999997943974
29006.0,1.0
86461.0,0.9999667884110233
22615.0,3.7516047725202296e-13
90108.0,0.9999999999960636
12561.0,3.008206000941415e-26
18306.0,1.0
78913.0,1.0
38785.0,1.0
13919.0,1.2359181819048707e-08
59619.0,1.0
17801.0,1.0
11683.0,1.0
50393.0,1.0
1414.0,1.0
49705.0,1.0
11495.0,2.3023758739936626e-39
74515.0,1.0
87870.0,1.0
18347.0,2.5912378306445324e-24
3854.0,1.0
19733.0,1.0
44194.0,0.9999243478830075
80652.0,0.9999999999977547
22356.0,1.0
56887.0,1.0
54654.0,1.0
81154.0,1.0
60139.0,0.9999998987975738
49481.0,1.0
13027.0,1.0
6073.0,1.0
21221.0,1.8029458535265596e-110
78849.0,1.899250581906026e-19
98453.0,1.0
43204.0,1.0
49495.0,1.0
50040.0,1.0
62238.0,1.0
96941.0,1.0
51613.0,1.0
28840.0,1.0
88334.0,1.0
40679.0,1.0
91906.0,1.0
61997.0,2.701354865668244e-13
96234.0,1.0
35191.0,1.0
99214.0,1.0
94474.0,1.0
70794.0,2.442442810839427e-08
96104.0,1.0
63209.0,1.0
78212.0,1.0
9699.0,1.0
89800.0,1.0
52248.0,1.0
48960.0,1.0
77980.0,1.0
58769.0,1.0
74585.0,1.0
33294.0,1.0
93240.0,3.078830754202065e-07
27238.0,1.0
2569.0,1.0
51644.0,0.9999999999999574
48318.0,1.0
9421.0,1.0
77916.0,0.9999937959553088
11814.0,4.315528392740314e-77
61073.0,1.0
64158.0,1.0
2805.0,1.0
72093.0,1.0
48104.0,1.0
20668.0,1.0
68085.0,1.0
63923.0,1.0
53517.0,1.0
3104.0,1.0
99805.0,1.0
39359.0,1.0
18783.0,1.0
15511.0,1.0
77153.0,1.0
45019.0,1.0
85462.0,1.0
96718.0,8.389360907983962e-161
34821.0,1.0
22810.0,1.0
93544.0,1.0
35535.0,1.0
65259.0,1.0
75047.0,1.0
58877.0,0.9999998256442676
64070.0,1.0
41996.0,1.0
71713.0,6.498903571186589e-35
38718.0,1.0
17155.0,1.0
24713.0,1.0
62892.0,1.0
29011.0,1.0
6645.0,1.0
41304.0,0.9999999999998437
58739.0,1.0
23285.0,1.0
48191.0,1.0
97795.0,9.146807558787064e-20
6696.0,1.0
64069.0,0.9999999999940172
82691.0,1.0
18615.0,1.0
62684.0,7.52560918820723e-177
9287.0,1.0
6874.0,0.0
22369.0,1.0
92953.0,1.0
84842.0,3.1439776486613366e-225
28468.0,1.0
30792.0,0.0019590169178320942
13171.0,1.0
17252.0,4.0958342769024826e-45
40297.0,1.0
98009.0,1.0
15527.0,1.0
7383.0,1.0
5269.0,0.999999934093156
31169.0,1.0
23713.0,1.0
93782.0,1.0
33652.0,1.0
50852.0,3.094824769969817e-56
62065.0,1.0
58026.0,1.0
75285.0,1.0
14705.0,1.0
47071.0,1.0
37161.0,0.0032728007285058613
77239.0,1.0
24989.0,1.0
90966.0,1.0
76360.0,1.0
94753.0,1.0
84592.0,1.0
67471.0,1.0
41794.0,4.489447834902955e-217
31485.0,1.0
91545.0,1.0
53221.0,1.0
8201.0,8.072820452500289e-22
60467.0,1.0
