ID_CORRELATIVO,NB_standard
47411.0,1.0
39861.0,1.0
38898.0,1.0
50927.0,1.0
32969.0,1.0
89661.0,1.0
12197.0,1.0
71520.0,1.0
59759.0,1.0
36743.0,9.129225654874868e-40
10736.0,1.0
5106.0,1.0
44506.0,1.0
47767.0,1.0
74686.0,1.0
63023.0,1.0
13584.0,1.0
317.0,1.0
62570.0,1.0
68244.0,1.0
72881.0,1.0
18280.0,1.0
70682.0,1.0
79902.0,1.0
35073.0,1.0
84331.0,1.0
70921.0,0.9999999997487521
82245.0,1.0
17714.0,1.0
13993.0,1.0
658.0,1.0
33916.0,1.0
92737.0,1.0
22844.0,1.0
93339.0,1.0
29572.0,1.0
24751.0,1.0
37862.0,1.0
26676.0,1.0
8675.0,1.0
64245.0,1.0
57248.0,1.0
3531.0,1.0
9834.0,1.0
74246.0,1.0
56683.0,1.0
16847.0,1.0
96617.0,1.0
94167.0,1.0
42800.0,1.0
70106.0,1.0
42486.0,0.0
78076.0,1.0
85819.0,1.0
15786.0,1.0
61483.0,1.0
25630.0,1.0
22501.0,1.0
92447.0,1.0
13795.0,1.0
57101.0,1.0
55077.0,1.0
47600.0,1.452055519474066e-60
5924.0,5.985632499347255e-13
34900.0,1.0
91990.0,1.0
50268.0,1.0
66401.0,1.0
18014.0,1.0
20006.0,1.0
55391.0,1.0
40304.0,1.0
12832.0,1.0
41746.0,1.0
69384.0,0.0
56225.0,7.527878239114655e-24
46522.0,1.0
59922.0,1.0
48609.0,7.126500842322836e-219
77235.0,1.0
8082.0,1.0
65539.0,0.9999999939384168
39769.0,1.0
96098.0,1.0
86925.0,1.0
53370.0,1.0
60773.0,1.0
47138.0,1.0
44098.0,1.0662742721331952e-26
61301.0,1.0
38956.0,1.0
7585.0,1.0
14240.0,0.0
49732.0,1.0
48849.0,1.0
72202.0,1.0
14480.0,1.0
33035.0,1.0
43985.0,1.0
85217.0,1.0
8121.0,1.0
95484.0,1.0
57781.0,1.0
85281.0,1.0
71928.0,1.0
79044.0,1.0
54020.0,1.0
46617.0,1.0
3924.0,1.0
76379.0,1.0
62379.0,1.0
80390.0,1.0
95214.0,1.0
24624.0,1.0
89328.0,1.0
85616.0,1.0
84393.0,1.0
63954.0,1.0
20998.0,1.5859567584024695e-27
42995.0,1.0
67212.0,1.0
95562.0,1.0
1869.0,1.0
81929.0,1.0
72552.0,1.0
34425.0,1.0
83123.0,1.0
90228.0,1.0
27741.0,1.0
53991.0,1.0
15167.0,1.0
29006.0,1.0
86461.0,1.0
22615.0,1.0
90108.0,1.0
12561.0,1.2526510010098202e-07
18306.0,1.0
78913.0,1.0
38785.0,1.0
13919.0,1.0
59619.0,1.0
17801.0,1.0
11683.0,1.0
50393.0,1.0
1414.0,1.0
49705.0,1.0
11495.0,1.0
74515.0,1.0
87870.0,1.0
18347.0,1.0
3854.0,1.0
19733.0,1.0
44194.0,1.0
80652.0,1.0
22356.0,1.0
56887.0,1.0
54654.0,1.0
81154.0,1.0
60139.0,1.0
49481.0,1.0
13027.0,1.0
6073.0,1.0
21221.0,1.6204196718406718e-41
78849.0,1.0
98453.0,1.0
43204.0,1.0
49495.0,1.0
50040.0,1.0
62238.0,1.0
96941.0,1.0
51613.0,1.0
28840.0,1.0
88334.0,1.0
40679.0,1.0
91906.0,1.0
61997.0,1.0
96234.0,1.0
35191.0,1.0
99214.0,1.0
94474.0,1.0
70794.0,1.0
96104.0,1.0
63209.0,1.0
78212.0,1.0
9699.0,1.0
89800.0,1.0
52248.0,1.0
48960.0,1.0
77980.0,1.0
58769.0,1.0
74585.0,1.0
33294.0,1.0
93240.0,1.0
27238.0,1.0
2569.0,1.0
51644.0,1.0
48318.0,1.0
9421.0,1.0
77916.0,1.0
11814.0,2.938222418110267e-88
61073.0,1.0
64158.0,1.0
2805.0,1.0
72093.0,1.0
48104.0,1.0
20668.0,1.0
68085.0,1.0
63923.0,1.0
53517.0,1.0
3104.0,1.0
99805.0,1.0
39359.0,1.0
18783.0,1.0
15511.0,1.0
77153.0,1.0
45019.0,1.0
85462.0,1.0
96718.0,1.6093314751642871e-65
34821.0,1.0
22810.0,1.0
93544.0,1.0
35535.0,1.0
65259.0,1.0
75047.0,1.0
58877.0,1.0
64070.0,1.0
41996.0,1.0
71713.0,1.0
38718.0,1.0
17155.0,1.0
24713.0,1.0
62892.0,1.0
29011.0,1.0
6645.0,1.0
41304.0,1.0
58739.0,1.0
23285.0,1.0
48191.0,1.0
97795.0,3.033537999313263e-87
6696.0,1.0
64069.0,1.0
82691.0,1.0
18615.0,1.0
62684.0,1.1762658399656792e-112
9287.0,1.0
6874.0,0.0
22369.0,1.0
92953.0,1.0
84842.0,3.071217178423307e-138
28468.0,1.0
30792.0,1.0
13171.0,1.0
17252.0,1.5606111791193043e-112
40297.0,1.0
98009.0,1.0
15527.0,1.0
7383.0,1.0
5269.0,1.0
31169.0,1.0
23713.0,1.0
93782.0,1.0
33652.0,1.0
50852.0,1.0
62065.0,1.0
58026.0,1.0
75285.0,1.0
14705.0,1.0
47071.0,1.0
37161.0,1.0
77239.0,1.0
24989.0,1.0
90966.0,1.0
76360.0,1.0
94753.0,1.0
84592.0,1.0
67471.0,1.0
41794.0,5.463187586886837e-134
31485.0,1.0
91545.0,1.0
53221.0,1.0
8201.0,1.0
60467.0,1.0
68016.0,1.0
38784.0,1.0
55226.0,1.0
65209.0,1.0
75408.0,1.0
85243.0,1.0
79788.0,1.0
61994.0,1.0
79195.0,1.0
46240.0,1.0
22216.0,1.0
70954.0,1.0
84807.0,1.0
46536.0,1.0
36753.0,1.0
97859.0,1.0
23760.0,5.0299730149949974e-77
85723.0,1.0
64710.0,1.0
27733.0,1.0
81034.0,1.0
12401.0,1.0
62556.0,1.0
93553.0,1.0
95020.0,1.0
89411.0,1.0
49025.0,1.0
175.0,1.135095857798893e-09
41587.0,1.0
95452.0,1.0
66833.0,1.0
35540.0,1.0
27054.0,1.0
73979.0,1.0
86206.0,1.0
44847.0,0.9827046008785234
3840.0,1.0
61419.0,1.0
41064.0,4.852036449389632e-215
3234.0,1.0
48912.0,1.0
14659.0,1.0
95329.0,1.0
48199.0,1.0
57661.0,1.0
91561.0,1.0
98545.0,1.0
64053.0,1.0
44127.0,1.0
19986.0,1.0
50281.0,1.0
23864.0,1.0
10807.0,1.0
46633.0,1.0
22081.0,1.0
58024.0,1.0
43243.0,1.0
87491.0,1.0
8098.0,4.778672970636247e-221
15691.0,1.0
92195.0,1.0
89981.0,1.0
61666.0,1.0
59887.0,1.0
72746.0,1.0
97844.0,1.0
66080.0,1.0
35864.0,1.0
91618.0,1.0
63875.0,1.0
12653.0,1.0
82407.0,1.0
60272.0,1.0
45986.0,1.0
40088.0,8.763273873408015e-61
30671.0,1.0
47115.0,1.0
87106.0,1.0
18985.0,1.4896640044746376e-97
78531.0,1.0
99309.0,1.0
30856.0,1.0
57429.0,1.0
90844.0,1.0
61193.0,1.0
61960.0,3.2182019659333848e-136
27310.0,1.0
85688.0,1.0
13849.0,1.0
20923.0,1.0
81184.0,1.0
92660.0,1.0
52780.0,0.999999671063759
58352.0,0.9999942579294452
84217.0,1.0
18894.0,1.0
2060.0,1.0
49450.0,1.0
16422.0,1.0
63949.0,1.0
14806.0,1.0
54228.0,1.0
47189.0,1.0
52562.0,1.0
87245.0,1.0
37544.0,1.0
30325.0,1.0
27069.0,1.0
65802.0,1.0
64416.0,1.0
22027.0,1.0
65273.0,1.0
28436.0,1.0
61160.0,1.0
32883.0,1.0
64263.0,1.0
3036.0,1.0
1394.0,1.0
15909.0,1.0
33028.0,1.0
94431.0,1.0
54780.0,1.0
43674.0,1.0
73620.0,1.0
75024.0,1.0
98242.0,1.0
8382.0,1.0
9870.0,1.0
77482.0,1.0
93661.0,1.0
61203.0,1.0
65157.0,1.0
6978.0,1.0
17470.0,1.2676800221766449e-121
53031.0,1.0
37506.0,5.6316514010275066e-83
5012.0,1.0
2994.0,1.0
17970.0,1.0
78783.0,1.0
20016.0,1.0
12503.0,1.0
61154.0,1.0
12861.0,1.0
67373.0,1.0
48455.0,1.0237427109445756e-70
6505.0,1.0
61490.0,1.0
54247.0,1.0
5795.0,1.0
28306.0,1.0
85714.0,1.0
82657.0,1.0
44030.0,2.4518152917022584e-123
65255.0,1.0
64927.0,1.0
75324.0,1.0
6857.0,1.0
11287.0,1.0
35241.0,3.8526878990811956e-206
34242.0,1.0
69085.0,1.0
71311.0,1.0
36269.0,1.0
14738.0,1.0
549.0,3.887533979486493e-08
3479.0,1.0
80866.0,1.0
92323.0,1.0
43887.0,0.04457429939990312
85023.0,1.0
97922.0,1.0
16440.0,1.0
69117.0,1.0
25539.0,1.0
12828.0,1.0
89828.0,1.0
25600.0,1.0
24291.0,0.9970857527746737
63983.0,1.0
67518.0,1.0
82104.0,1.0
29260.0,1.0
40004.0,1.0
65199.0,1.0
76117.0,1.0
93827.0,1.0
29395.0,1.0
86252.0,1.0
40938.0,1.0
24209.0,0.0
24037.0,1.0
80880.0,1.0
33040.0,1.0
52215.0,1.0
38125.0,1.0
13173.0,1.8718017053769434e-220
65774.0,0.8806501336031702
16691.0,1.0
71372.0,1.0
33821.0,1.0
90285.0,1.0
8425.0,1.0
36687.0,1.0
78613.0,1.0
23269.0,1.0
65699.0,1.0
99079.0,1.0
45348.0,1.0
40929.0,1.0
3792.0,1.0
46357.0,1.0
62600.0,1.0
23863.0,1.0
77937.0,1.0
335.0,0.00041443861866424813
60070.0,0.9999999999996305
13973.0,1.0
45656.0,1.0
18176.0,1.0
5930.0,1.0
86954.0,1.0
64225.0,1.0
72124.0,1.0
2108.0,1.0
44109.0,1.0
16923.0,1.0
70941.0,1.0
83294.0,1.0
78522.0,1.0
95018.0,1.0
96818.0,1.0
27237.0,1.5771272640331195e-114
84772.0,1.0
41563.0,1.0
73476.0,1.0
72352.0,1.0
79414.0,1.0
60076.0,1.0
80745.0,1.0
86202.0,1.0
16667.0,1.0
61215.0,1.0
3297.0,1.0
3700.0,0.0
70352.0,1.0
72752.0,1.0
16377.0,1.0
455.0,1.0
16803.0,1.0
45698.0,1.0
13350.0,1.0
76081.0,1.0
77878.0,1.0
72854.0,1.0
36377.0,1.0
64828.0,1.0
5048.0,1.0
20341.0,1.0
93214.0,1.0
70114.0,1.0
22778.0,1.0
24111.0,1.0
91002.0,1.0
41036.0,1.0
84784.0,1.0
77981.0,1.0
62877.0,1.0
75883.0,4.008529245421941e-155
65815.0,1.0
9256.0,1.0
43407.0,1.0
2531.0,1.0
27887.0,1.0
12062.0,1.0
20044.0,1.0
65756.0,1.0
93096.0,1.0
22795.0,1.0
87212.0,1.0
35969.0,1.0
16574.0,1.0
86765.0,1.0
15941.0,1.0
90109.0,1.0
48087.0,1.0
58303.0,1.0
94111.0,1.0
58882.0,1.0
68501.0,1.0
15523.0,1.0
32550.0,1.0
66142.0,1.0
34097.0,1.0
65169.0,1.0
97085.0,1.0
56165.0,1.0
86685.0,1.0
70155.0,1.0
94728.0,1.0
18780.0,1.0
94486.0,1.0
39723.0,1.0
53398.0,1.0
49177.0,1.0
61923.0,1.0
72622.0,1.0
78582.0,0.0
55627.0,2.9892761499142656e-141
52808.0,1.0
26623.0,1.0
68723.0,1.0
15319.0,1.0
33747.0,1.0
73915.0,1.0
92776.0,1.0
49883.0,0.0
98556.0,1.0
88865.0,1.0
97115.0,1.0
54132.0,1.0
9554.0,1.0
70701.0,1.0
5627.0,1.0
80129.0,1.0
8134.0,1.0
69401.0,1.0
27103.0,1.0
30747.0,1.0
83422.0,1.0
3842.0,1.0
2394.0,1.0
6597.0,0.9999999999434408
11139.0,1.0
57217.0,1.0
3953.0,1.0
79429.0,1.0
60795.0,1.0
56610.0,1.0
81632.0,1.0
69638.0,1.0
86896.0,1.0
75514.0,1.0
66956.0,1.0
70023.0,1.0
14775.0,1.0
63656.0,1.0
86171.0,1.0
53818.0,1.0
75659.0,1.0
60135.0,1.0
3003.0,1.2071256818911623e-69
62748.0,1.0
48871.0,1.0
68081.0,1.0
10715.0,1.0
18278.0,1.0
11112.0,1.0
10680.0,1.0
39089.0,1.0
92019.0,1.0
23820.0,1.0
28533.0,1.0
61946.0,1.0
68786.0,1.0
50374.0,1.0
32563.0,1.0
91650.0,1.0
54629.0,1.0
38213.0,1.0
23419.0,1.0
5647.0,1.0
25369.0,1.0
61117.0,1.0
90892.0,1.0
56964.0,1.0
73556.0,1.0
21316.0,1.0
57187.0,1.0
50543.0,1.0
92908.0,1.0
76663.0,1.0
50791.0,1.0
42964.0,1.0
36473.0,1.0
41795.0,5.7630370983050564e-61
3005.0,1.0
92387.0,1.0
90232.0,1.0
87360.0,1.0
72062.0,1.0
29388.0,1.0
90178.0,1.0
1090.0,1.0
22898.0,2.033475709989898e-39
994.0,1.0
74120.0,1.0
82594.0,1.0
45211.0,1.0
83526.0,1.0
77504.0,1.0
77357.0,1.0
94837.0,1.0
75345.0,1.0
33825.0,1.0
67688.0,1.0
43567.0,1.0
90096.0,1.0
84103.0,1.0
89217.0,1.0
11035.0,1.0
73782.0,1.0243393119809819e-32
61029.0,1.0
22253.0,1.0
71770.0,1.0
14851.0,1.0
48543.0,1.0
53375.0,1.0
9239.0,1.0
50910.0,1.0
7752.0,1.0
14390.0,1.0
38461.0,1.0
29014.0,1.0
17962.0,1.0
56755.0,1.0
82489.0,1.0
61481.0,1.0
21066.0,1.0
38231.0,1.0
76306.0,1.0
32221.0,1.0
86030.0,1.0
76070.0,1.0
81782.0,1.4405942333999752e-75
43513.0,1.0
46218.0,1.0
41215.0,1.0
88994.0,1.0
83879.0,1.0
55133.0,1.0
97682.0,1.0
2168.0,1.0
32212.0,1.0
73618.0,1.0
10805.0,1.0
48944.0,1.0
37538.0,1.0
69219.0,1.0
99284.0,1.0
17593.0,1.0
83733.0,1.0
3224.0,1.125640051872954e-170
19283.0,1.0
18719.0,1.0
96329.0,6.87234212922082e-07
47823.0,1.0
16869.0,1.0
60538.0,1.0
49291.0,1.0
71079.0,1.0
25632.0,1.0
62251.0,1.0
72780.0,1.0
13003.0,1.0
40002.0,1.0
98765.0,1.0
86688.0,1.0
58320.0,1.0
84383.0,1.0
76245.0,1.0
93031.0,1.0
54534.0,1.0
58723.0,1.0
36529.0,1.0
77541.0,1.0
49677.0,1.0
76734.0,1.0
99838.0,1.0
1529.0,1.0
30528.0,1.0
11220.0,1.0
93804.0,1.0
58259.0,1.911949386793511e-91
20339.0,1.0
42577.0,1.0
23740.0,1.0
7391.0,1.0
94300.0,1.0
81918.0,1.0
25894.0,3.8036885667795274e-12
37142.0,1.0
88486.0,1.0
17974.0,1.0
23522.0,1.0
60666.0,1.0
2482.0,1.0
88646.0,1.0
82150.0,1.0
86468.0,1.0
75758.0,1.0
35498.0,1.0
86662.0,1.0
48888.0,1.0
86890.0,1.0
80800.0,1.0
21045.0,1.0
2799.0,1.0
10916.0,1.0
77435.0,1.0
27846.0,1.0
9054.0,1.0
19538.0,1.0
19587.0,1.0
92929.0,1.0
91755.0,1.0
35661.0,1.0
