ID_CORRELATIVO,KNN16_standard
47411.0,0.0
39861.0,0.375
38898.0,0.0
50927.0,0.0625
32969.0,0.0
89661.0,0.125
12197.0,0.0
71520.0,0.0
59759.0,0.5625
36743.0,0.0625
10736.0,0.0625
5106.0,0.0
44506.0,0.0
47767.0,0.125
74686.0,0.0
63023.0,0.0625
13584.0,0.1875
317.0,0.0
62570.0,0.0
68244.0,0.0
72881.0,0.375
18280.0,0.6875
70682.0,0.1875
79902.0,0.0625
35073.0,0.0
84331.0,0.0625
70921.0,0.0
82245.0,0.125
17714.0,0.625
13993.0,0.375
658.0,0.0
33916.0,0.0
92737.0,0.25
22844.0,0.0
93339.0,0.0
29572.0,0.0625
24751.0,0.0
37862.0,0.1875
26676.0,0.0625
8675.0,0.375
64245.0,0.0625
57248.0,0.5625
3531.0,0.0625
9834.0,0.6875
74246.0,0.3125
56683.0,0.3125
16847.0,0.8125
96617.0,0.25
94167.0,0.25
42800.0,0.0625
70106.0,0.3125
42486.0,0.0625
78076.0,0.0625
85819.0,0.0
15786.0,0.0
61483.0,0.0625
25630.0,0.375
22501.0,0.0
92447.0,0.0625
13795.0,0.0625
57101.0,0.25
55077.0,0.0625
47600.0,0.0625
5924.0,0.0
34900.0,0.8125
91990.0,0.125
50268.0,0.0625
66401.0,0.0625
18014.0,0.125
20006.0,0.0
55391.0,0.125
40304.0,0.0
12832.0,0.1875
41746.0,0.125
69384.0,0.0
56225.0,0.0
46522.0,0.0
59922.0,0.4375
48609.0,0.0
77235.0,0.375
8082.0,0.0
65539.0,0.0
39769.0,0.125
96098.0,0.125
86925.0,0.1875
53370.0,0.3125
60773.0,0.1875
47138.0,0.0625
44098.0,0.0
61301.0,0.125
38956.0,0.0
7585.0,0.4375
14240.0,0.0
49732.0,0.0
48849.0,0.25
72202.0,0.1875
14480.0,1.0
33035.0,0.125
43985.0,0.0
85217.0,0.8125
8121.0,0.0
95484.0,0.0625
57781.0,0.0
85281.0,0.125
71928.0,0.0
79044.0,0.375
54020.0,0.0625
46617.0,0.1875
3924.0,0.1875
76379.0,0.75
62379.0,0.125
80390.0,0.0
95214.0,0.125
24624.0,0.125
89328.0,0.6875
85616.0,0.125
84393.0,0.125
63954.0,0.125
20998.0,0.0
42995.0,0.375
67212.0,0.0
95562.0,0.0
1869.0,0.375
81929.0,0.0
72552.0,0.0
34425.0,0.125
83123.0,0.3125
90228.0,0.0625
27741.0,0.5
53991.0,0.75
15167.0,0.0625
29006.0,0.5
86461.0,0.125
22615.0,0.125
90108.0,0.125
12561.0,0.0
18306.0,0.0625
78913.0,0.125
38785.0,0.0
13919.0,0.0
59619.0,0.0625
17801.0,0.5625
11683.0,0.3125
50393.0,0.25
1414.0,0.0
49705.0,0.0625
11495.0,0.0
74515.0,0.0625
87870.0,0.25
18347.0,0.0
3854.0,0.125
19733.0,0.125
44194.0,0.0
80652.0,0.0625
22356.0,0.5
56887.0,0.0
54654.0,0.75
81154.0,0.8125
60139.0,0.0
49481.0,0.5
13027.0,0.125
6073.0,0.125
21221.0,0.0
78849.0,0.0
98453.0,0.0625
43204.0,0.0
49495.0,0.125
50040.0,0.0
62238.0,0.125
96941.0,0.0
51613.0,0.0625
28840.0,0.0
88334.0,0.0
40679.0,0.1875
91906.0,0.6875
61997.0,0.0
96234.0,0.25
35191.0,0.25
99214.0,0.0
94474.0,0.3125
70794.0,0.0
96104.0,0.4375
63209.0,0.0625
78212.0,0.0625
9699.0,0.5625
89800.0,0.375
52248.0,0.3125
48960.0,0.125
77980.0,0.25
58769.0,0.0625
74585.0,0.0
33294.0,0.1875
93240.0,0.125
27238.0,0.0
2569.0,0.0625
51644.0,0.0625
48318.0,0.0
9421.0,0.1875
77916.0,0.0
11814.0,0.0
61073.0,0.0625
64158.0,0.0625
2805.0,0.625
72093.0,0.75
48104.0,0.1875
20668.0,0.5625
68085.0,0.5625
63923.0,0.125
53517.0,0.0625
3104.0,0.125
99805.0,0.0625
39359.0,0.125
18783.0,0.0
15511.0,0.0
77153.0,0.0625
45019.0,0.0
85462.0,0.6875
96718.0,0.0
34821.0,0.0
22810.0,0.0
93544.0,0.0
35535.0,0.4375
65259.0,0.625
75047.0,0.125
58877.0,0.4375
64070.0,0.5625
41996.0,0.0
71713.0,0.0
38718.0,0.6875
17155.0,0.5625
24713.0,0.375
62892.0,0.1875
29011.0,0.125
6645.0,0.375
41304.0,0.25
58739.0,0.125
23285.0,0.5
48191.0,0.1875
97795.0,0.0
6696.0,0.0625
64069.0,0.0625
82691.0,0.4375
18615.0,0.0625
62684.0,0.0
9287.0,0.4375
6874.0,0.0
22369.0,0.3125
92953.0,0.625
84842.0,0.0
28468.0,0.0625
30792.0,0.0625
13171.0,0.375
17252.0,0.0
40297.0,0.375
98009.0,0.0625
15527.0,0.0
7383.0,0.125
5269.0,0.0625
31169.0,0.125
23713.0,0.3125
93782.0,0.25
33652.0,0.625
50852.0,0.0
62065.0,0.25
58026.0,0.0625
75285.0,0.25
14705.0,0.0625
47071.0,0.1875
37161.0,0.1875
77239.0,0.125
24989.0,0.125
90966.0,0.0625
76360.0,0.375
94753.0,0.0
84592.0,0.0
67471.0,0.25
41794.0,0.0
31485.0,0.0
91545.0,0.0
53221.0,0.5625
8201.0,0.0625
60467.0,0.75
68016.0,0.8125
38784.0,0.125
55226.0,0.125
65209.0,0.6875
75408.0,0.0625
85243.0,0.0
79788.0,0.0625
61994.0,0.125
79195.0,0.0625
46240.0,0.0
22216.0,0.0
70954.0,0.125
84807.0,0.0
46536.0,0.0625
36753.0,0.0625
97859.0,0.125
23760.0,0.0
85723.0,0.0
64710.0,0.4375
27733.0,0.0625
81034.0,0.4375
12401.0,0.0
62556.0,0.125
93553.0,0.1875
95020.0,0.0625
89411.0,0.125
49025.0,0.1875
175.0,0.0
41587.0,0.125
95452.0,0.1875
66833.0,0.125
35540.0,0.0
27054.0,0.1875
73979.0,0.25
86206.0,0.0625
44847.0,0.0625
3840.0,0.0
61419.0,0.0625
41064.0,0.0625
3234.0,0.0
48912.0,0.3125
14659.0,0.125
95329.0,0.25
48199.0,0.25
57661.0,0.0
91561.0,0.25
98545.0,0.0
64053.0,0.625
44127.0,0.3125
19986.0,0.0625
50281.0,0.125
23864.0,0.3125
10807.0,0.25
46633.0,0.125
22081.0,0.625
58024.0,0.3125
43243.0,0.0
87491.0,0.0
8098.0,0.0
15691.0,0.0
92195.0,0.0625
89981.0,0.0
61666.0,0.0
59887.0,0.25
72746.0,0.0625
97844.0,0.25
66080.0,0.4375
35864.0,0.125
91618.0,0.3125
63875.0,0.25
12653.0,0.3125
82407.0,0.375
60272.0,0.25
45986.0,0.375
40088.0,0.0
30671.0,0.0625
47115.0,0.0
87106.0,0.1875
18985.0,0.0
78531.0,0.5
99309.0,0.9375
30856.0,0.125
57429.0,0.125
90844.0,0.1875
61193.0,0.125
61960.0,0.0
27310.0,0.0625
85688.0,0.0
13849.0,0.0625
20923.0,0.5
81184.0,0.0
92660.0,0.125
52780.0,0.0
58352.0,0.0
84217.0,0.8125
18894.0,0.125
2060.0,0.0625
49450.0,0.125
16422.0,0.5625
63949.0,0.25
14806.0,0.0625
54228.0,0.0
47189.0,0.0625
52562.0,0.375
87245.0,0.4375
37544.0,0.25
30325.0,0.0625
27069.0,0.0625
65802.0,0.0625
64416.0,0.125
22027.0,0.0
65273.0,0.0
28436.0,0.625
61160.0,0.0
32883.0,0.125
64263.0,0.0
3036.0,0.125
1394.0,0.0625
15909.0,0.125
33028.0,0.375
94431.0,0.6875
54780.0,0.5
43674.0,0.0
73620.0,0.0
75024.0,0.75
98242.0,0.25
8382.0,0.4375
9870.0,0.1875
77482.0,0.125
93661.0,0.0625
61203.0,0.125
65157.0,0.0
6978.0,0.0
17470.0,0.0
53031.0,0.1875
37506.0,0.125
5012.0,0.3125
2994.0,0.1875
17970.0,0.0625
78783.0,0.0625
20016.0,0.375
12503.0,0.125
61154.0,0.0625
12861.0,0.1875
67373.0,0.0625
48455.0,0.0
6505.0,0.25
61490.0,0.25
54247.0,0.25
5795.0,0.0
28306.0,0.1875
85714.0,0.0
82657.0,0.0
44030.0,0.0625
65255.0,0.4375
64927.0,0.0
75324.0,0.0
6857.0,0.3125
11287.0,0.6875
35241.0,0.0
34242.0,0.0
69085.0,0.125
71311.0,0.0
36269.0,0.0625
14738.0,0.5625
549.0,0.0
3479.0,0.0
80866.0,0.75
92323.0,0.125
43887.0,0.0
85023.0,0.125
97922.0,0.0
16440.0,0.8125
69117.0,0.5625
25539.0,0.0625
12828.0,0.0625
89828.0,0.0
25600.0,0.0
24291.0,0.0
63983.0,0.6875
